address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	Voltage(v)	hx	hy	hz
0x50	 21:08:18.942	-0.0005	0.1060	1.0029	2.5024	3.0518	-2.4414	1.7413	-0.2637	-119.0039	47.67	3.59	0	0	0
0x50	 21:08:18.942	0.0298	0.1270	1.0361	1.6479	-6.2866	-5.2490	1.7853	-0.3241	-119.0588	47.68	3.59	0	0	0
0x50	 21:08:18.942	0.0298	0.1270	1.0361	1.6479	-6.2866	-5.2490	1.8347	-0.3845	-119.1138	47.68	3.59	0	0	0
0x50	 21:08:18.942	0.0010	0.1528	1.0127	-3.4790	1.5869	2.9907	1.8292	-0.3680	-119.0808	47.67	3.59	0	0	0
0x50	 21:08:18.942	0.0010	0.1528	1.0127	-3.4790	1.5869	2.9907	1.8292	-0.3571	-119.0533	47.67	3.59	0	0	0
0x50	 21:08:18.942	-0.0083	0.0728	0.9746	-1.1597	0.7324	2.5024	1.8457	-0.3516	-119.0259	47.67	3.59	0	0	0
0x50	 21:08:18.990	-0.0083	0.0728	0.9746	-1.1597	0.7324	2.5024	1.8677	-0.3406	-118.9984	47.67	3.59	0	0	0
0x50	 21:08:18.990	0.0005	0.1230	0.9849	2.5635	1.7700	-1.4648	1.9226	-0.3241	-119.0149	47.67	3.59	0	0	0
0x50	 21:08:18.990	0.0005	0.1230	0.9849	2.5635	1.7700	-1.4648	1.9775	-0.3076	-119.0259	47.67	3.59	0	0	0
0x50	 21:08:18.990	0.0259	0.1675	1.0420	2.4414	-3.4790	-1.4648	2.0325	-0.3406	-119.0424	47.68	3.59	0	0	0
0x50	 21:08:18.990	0.0259	0.1675	1.0420	2.4414	-3.4790	-1.4648	2.0874	-0.3735	-119.0588	47.68	3.59	0	0	0
0x50	 21:08:18.990	0.0117	0.0923	1.0132	-3.5400	-2.5024	3.4180	2.0819	-0.4010	-119.0259	47.68	3.59	0	0	0
0x50	 21:08:18.990	0.0117	0.0923	1.0132	-3.5400	-2.5024	3.4180	2.0709	-0.4285	-118.9929	47.68	3.59	0	0	0
0x50	 21:08:19.069	0.0020	0.1343	0.9609	-0.6104	0.7324	-1.1597	2.0984	-0.4175	-119.0039	47.67	3.59	0	0	0
0x50	 21:08:19.069	0.0020	0.1343	0.9609	-0.6104	0.7324	-1.1597	2.1204	-0.4120	-119.0149	47.67	3.59	0	0	0
0x50	 21:08:19.069	0.0093	0.1255	1.0073	3.2349	4.8828	-4.5166	2.1808	-0.3625	-119.0588	47.67	3.59	0	0	0
0x50	 21:08:19.069	0.0093	0.1255	1.0073	3.2349	4.8828	-4.5166	2.2412	-0.3131	-119.1028	47.67	3.59	0	0	0
0x50	 21:08:19.069	0.0166	0.0742	1.0420	0.3662	-2.7466	4.3335	2.2742	-0.3406	-119.0588	47.67	3.59	0	0	0
0x50	 21:08:19.069	0.0166	0.0742	1.0420	0.3662	-2.7466	4.3335	2.3016	-0.3735	-119.0204	47.67	3.59	0	0	0
0x50	 21:08:19.120	-0.0122	0.1733	0.9858	-3.3569	0.4883	4.8828	2.2961	-0.3680	-118.9709	47.67	3.59	0	0	0
0x50	 21:08:19.120	-0.0122	0.1733	0.9858	-3.3569	0.4883	4.8828	2.2906	-0.3680	-118.9215	47.67	3.59	0	0	0
0x50	 21:08:19.120	-0.0127	0.1201	0.9800	2.5635	4.2725	0.6714	2.3456	-0.3241	-118.9105	47.67	3.59	0	0	0
0x50	 21:08:19.120	-0.0127	0.1201	0.9800	2.5635	4.2725	0.6714	2.4005	-0.2802	-118.9050	47.67	3.59	0	0	0
0x50	 21:08:19.120	0.0371	0.1064	1.0615	2.0752	-5.9814	-10.3760	2.4500	-0.3351	-119.0094	47.67	3.59	0	0	0
0x50	 21:08:19.120	0.0371	0.1064	1.0615	2.0752	-5.9814	-10.3760	2.4994	-0.3900	-119.1138	47.67	3.59	0	0	0
0x50	 21:08:19.120	-0.0005	0.1230	0.9951	-4.6387	-1.3428	4.8218	2.4774	-0.4065	-119.0698	47.67	3.59	0	0	0
0x50	 21:08:19.205	-0.0005	0.1230	0.9951	-4.6387	-1.3428	4.8218	2.4554	-0.4230	-119.0204	47.67	3.59	0	0	0
0x50	 21:08:19.205	-0.0015	0.0981	0.9517	2.0142	3.4180	1.3428	2.5049	-0.3900	-119.0039	47.68	3.59	0	0	0
0x50	 21:08:19.205	-0.0015	0.0981	0.9517	2.0142	3.4180	1.3428	2.5488	-0.3516	-118.9929	47.68	3.59	0	0	0
0x50	 21:08:19.205	0.0239	0.1689	1.0615	2.7466	-1.7090	-2.6245	2.6038	-0.3680	-119.0204	47.68	3.59	0	0	0
0x50	 21:08:19.205	0.0239	0.1689	1.0615	2.7466	-1.7090	-2.6245	2.6532	-0.3845	-119.0424	47.68	3.59	0	0	0
0x50	 21:08:19.205	0.0015	0.1084	0.9917	-4.8828	-1.0986	5.3101	2.6312	-0.4010	-118.9929	47.67	3.59	0	0	0
0x50	 21:08:19.274	0.0015	0.1084	0.9917	-4.8828	-1.0986	5.3101	2.6093	-0.4120	-118.9380	47.67	3.59	0	0	0
0x50	 21:08:19.274	-0.0093	0.0938	0.9629	2.3193	4.8218	0.7324	2.6587	-0.3680	-118.9325	47.67	3.59	0	0	0
0x50	 21:08:19.281	-0.0093	0.0938	0.9629	2.3193	4.8218	0.7324	2.7081	-0.3186	-118.9215	47.67	3.59	0	0	0
0x50	 21:08:19.281	0.0410	0.1289	1.0640	1.4038	-7.0190	-11.7798	2.7466	-0.3845	-119.0424	47.68	3.59	0	0	0
0x50	 21:08:19.281	0.0410	0.1289	1.0640	1.4038	-7.0190	-11.7798	2.7850	-0.4449	-119.1632	47.68	3.59	0	0	0
