address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	Voltage(v)	hx	hy	hz
0x50	 21:05:04.585	-0.0049	0.0547	1.0117	-1.7090	0.3662	-2.1362	0.8844	-0.2802	-119.1687	47.68	3.59	0	0	0
0x50	 21:05:04.599	-0.0049	0.0547	1.0117	-1.7090	0.3662	-2.1362	0.8789	-0.2747	-119.1907	47.68	3.59	0	0	0
0x50	 21:05:04.599	0.0005	0.0469	0.9951	-1.5869	-0.4883	-0.0610	0.8734	-0.2802	-119.1907	47.68	3.59	0	0	0
0x50	 21:05:04.599	0.0005	0.0469	0.9951	-1.5869	-0.4883	-0.0610	0.8734	-0.2856	-119.1907	47.68	3.59	0	0	0
0x50	 21:05:04.599	-0.0034	0.0620	1.0010	0.0610	-1.6479	-2.1973	0.8844	-0.3021	-119.2126	47.69	3.59	0	0	0
0x50	 21:05:04.599	-0.0034	0.0620	1.0010	0.0610	-1.6479	-2.1973	0.9009	-0.3186	-119.2346	47.69	3.59	0	0	0
0x50	 21:05:04.599	0.0015	0.0537	0.9966	1.8311	-0.7324	-0.1221	0.9338	-0.3241	-119.2346	47.68	3.59	0	0	0
0x50	 21:05:04.647	0.0015	0.0537	0.9966	1.8311	-0.7324	-0.1221	0.9613	-0.3296	-119.2401	47.68	3.59	0	0	0
0x50	 21:05:04.647	0.0063	0.0664	1.0015	2.6245	0.1221	-0.7324	1.0052	-0.3241	-119.2456	47.68	3.59	0	0	0
0x50	 21:05:04.647	0.0063	0.0664	1.0015	2.6245	0.1221	-0.7324	1.0437	-0.3241	-119.2511	47.68	3.59	0	0	0
0x50	 21:05:04.647	0.0122	0.0532	0.9990	2.0142	1.4038	-1.2817	1.0767	-0.3076	-119.2676	47.69	3.59	0	0	0
0x50	 21:05:04.647	0.0122	0.0532	0.9990	2.0142	1.4038	-1.2817	1.1096	-0.2966	-119.2786	47.69	3.59	0	0	0
0x50	 21:05:04.647	0.0313	0.0566	1.0098	0.0000	0.6104	5.7983	1.1206	-0.2911	-119.2181	47.68	3.59	0	0	0
0x50	 21:05:04.728	0.0313	0.0566	1.0098	0.0000	0.6104	5.7983	1.1316	-0.2856	-119.1632	47.68	3.59	0	0	0
0x50	 21:05:04.728	-0.0054	0.0459	1.0151	-1.6479	0.7324	2.9907	1.1316	-0.2802	-119.1302	47.69	3.59	0	0	0
0x50	 21:05:04.728	-0.0054	0.0459	1.0151	-1.6479	0.7324	2.9907	1.1261	-0.2747	-119.1028	47.69	3.59	0	0	0
0x50	 21:05:04.728	0.0063	0.0474	1.0151	-2.6245	0.6714	-4.7607	1.1151	-0.2692	-119.1083	47.68	3.59	0	0	0
0x50	 21:05:04.728	0.0063	0.0474	1.0151	-2.6245	0.6714	-4.7607	1.0986	-0.2637	-119.1577	47.68	3.59	0	0	0
0x50	 21:05:04.728	-0.0093	0.0479	0.9956	-1.6479	0.2441	-0.1831	1.0931	-0.2582	-119.1797	47.68	3.59	0	0	0
0x50	 21:05:04.728	-0.0093	0.0479	0.9956	-1.6479	0.2441	-0.1831	1.0876	-0.2527	-119.1852	47.68	3.59	0	0	0
0x50	 21:05:04.790	-0.0103	0.0645	0.9966	0.0000	-1.5869	-3.0518	1.0876	-0.2582	-119.2017	47.67	3.59	0	0	0
0x50	 21:05:04.790	-0.0103	0.0645	0.9966	0.0000	-1.5869	-3.0518	1.0986	-0.2747	-119.2291	47.67	3.59	0	0	0
0x50	 21:05:04.790	-0.0073	0.0635	0.9902	2.6855	-1.0986	0.0610	1.1261	-0.2856	-119.2456	47.67	3.59	0	0	0
0x50	 21:05:04.790	-0.0073	0.0635	0.9902	2.6855	-1.0986	0.0610	1.1646	-0.2966	-119.2456	47.67	3.59	0	0	0
0x50	 21:05:04.790	0.0063	0.0620	1.0083	2.8076	-0.3662	-0.6714	1.2030	-0.3021	-119.2511	47.68	3.59	0	0	0
0x50	 21:05:04.790	0.0063	0.0620	1.0083	2.8076	-0.3662	-0.6714	1.2469	-0.3021	-119.2566	47.68	3.59	0	0	0
0x50	 21:05:04.851	0.0425	0.0532	1.0000	1.1597	-1.1597	3.3569	1.2744	-0.3076	-119.2401	47.67	3.59	0	0	0
0x50	 21:05:04.851	0.0425	0.0532	1.0000	1.1597	-1.1597	3.3569	1.3019	-0.3186	-119.2072	47.67	3.59	0	0	0
0x50	 21:05:04.851	-0.0044	0.0479	1.0244	-2.3804	-0.9766	5.8594	1.3074	-0.3351	-119.1632	47.68	3.59	0	0	0
0x50	 21:05:04.851	-0.0044	0.0479	1.0244	-2.3804	-0.9766	5.8594	1.2909	-0.3461	-119.1028	47.68	3.59	0	0	0
0x50	 21:05:04.851	0.0088	0.0615	1.0181	-2.5024	0.0000	-5.5542	1.2799	-0.3516	-119.1028	47.67	3.59	0	0	0
0x50	 21:05:04.851	0.0088	0.0615	1.0181	-2.5024	0.0000	-5.5542	1.2634	-0.3461	-119.1577	47.67	3.59	0	0	0
0x50	 21:05:04.851	0.0029	0.0410	0.9863	-1.9531	0.6104	0.5493	1.2524	-0.3461	-119.1852	47.67	3.59	0	0	0
0x50	 21:05:04.931	0.0029	0.0410	0.9863	-1.9531	0.6104	0.5493	1.2469	-0.3406	-119.1797	47.67	3.59	0	0	0
0x50	 21:05:04.931	-0.0024	0.0747	0.9941	1.5259	0.1221	-3.2349	1.2524	-0.3351	-119.1907	47.68	3.59	0	0	0
0x50	 21:05:04.931	-0.0024	0.0747	0.9941	1.5259	0.1221	-3.2349	1.2799	-0.3351	-119.2236	47.68	3.59	0	0	0
0x50	 21:05:04.931	-0.0044	0.0454	1.0044	3.6621	1.8311	-0.6714	1.3184	-0.3241	-119.2456	47.68	3.59	0	0	0
0x50	 21:05:04.931	-0.0044	0.0454	1.0044	3.6621	1.8311	-0.6714	1.3678	-0.3021	-119.2511	47.68	3.59	0	0	0
0x50	 21:05:04.931	0.0288	0.0693	1.0000	2.0752	1.0376	0.1221	1.4063	-0.2856	-119.2511	47.67	3.59	0	0	0
0x50	 21:05:04.931	0.0288	0.0693	1.0000	2.0752	1.0376	0.1221	1.4392	-0.2802	-119.2511	47.67	3.59	0	0	0
0x50	 21:05:04.978	-0.0054	0.0371	1.0303	-2.1973	-0.3052	7.7515	1.4502	-0.2747	-119.2126	47.67	3.59	0	0	0
0x50	 21:05:04.978	-0.0054	0.0371	1.0303	-2.1973	-0.3052	7.7515	1.4392	-0.2802	-119.1357	47.67	3.59	0	0	0
0x50	 21:05:04.978	0.0103	0.0586	1.0103	-3.2349	0.0000	-4.0894	1.4172	-0.2856	-119.1138	47.69	3.59	0	0	0
0x50	 21:05:04.978	0.0103	0.0586	1.0103	-3.2349	0.0000	-4.0894	1.3953	-0.2802	-119.1577	47.69	3.59	0	0	0
0x50	 21:05:04.978	-0.0044	0.0591	0.9902	-1.4038	-0.3662	-1.1597	1.3843	-0.2856	-119.1852	47.68	3.59	0	0	0
0x50	 21:05:04.978	-0.0044	0.0591	0.9902	-1.4038	-0.3662	-1.1597	1.3843	-0.2856	-119.1962	47.68	3.59	0	0	0
0x50	 21:05:05.075	-0.0181	0.0708	0.9946	2.8687	-0.1831	-1.2207	1.4008	-0.2911	-119.2072	47.69	3.59	0	0	0
0x50	 21:05:05.075	-0.0181	0.0708	0.9946	2.8687	-0.1831	-1.2207	1.4392	-0.2911	-119.2181	47.69	3.59	0	0	0
0x50	 21:05:05.075	0.0024	0.0537	1.0029	3.7842	0.6104	-1.8311	1.4832	-0.2856	-119.2346	47.67	3.59	0	0	0
0x50	 21:05:05.075	0.0024	0.0537	1.0029	3.7842	0.6104	-1.8311	1.5326	-0.2747	-119.2511	47.67	3.59	0	0	0
0x50	 21:05:05.075	0.0508	0.0415	1.0093	0.1221	-1.4648	7.5684	1.5601	-0.2802	-119.2236	47.67	3.59	0	0	0
0x50	 21:05:05.075	0.0508	0.0415	1.0093	0.1221	-1.4648	7.5684	1.5710	-0.2966	-119.1467	47.67	3.59	0	0	0
0x50	 21:05:05.075	-0.0103	0.0430	1.0293	-3.6011	-1.7700	-0.9155	1.5656	-0.3186	-119.1138	47.69	3.59	0	0	0
0x50	 21:05:05.109	-0.0103	0.0430	1.0293	-3.6011	-1.7700	-0.9155	1.5381	-0.3351	-119.1248	47.69	3.59	0	0	0
0x50	 21:05:05.109	-0.0020	0.0781	1.0059	-2.3193	-0.4883	-1.1597	1.5161	-0.3461	-119.1357	47.67	3.59	0	0	0
0x50	 21:05:05.109	-0.0020	0.0781	1.0059	-2.3193	-0.4883	-1.1597	1.5051	-0.3516	-119.1467	47.67	3.59	0	0	0
0x50	 21:05:05.109	0.0020	0.0610	0.9731	1.8921	-0.3052	-2.8687	1.5106	-0.3516	-119.1687	47.68	3.59	0	0	0
0x50	 21:05:05.109	0.0020	0.0610	0.9731	1.8921	-0.3052	-2.8687	1.5436	-0.3516	-119.1962	47.68	3.59	0	0	0
0x50	 21:05:05.109	-0.0029	0.0654	1.0078	4.2114	2.1362	-1.5259	1.5820	-0.3461	-119.2181	47.68	3.59	0	0	0
0x50	 21:05:05.193	-0.0029	0.0654	1.0078	4.2114	2.1362	-1.5259	1.6370	-0.3186	-119.2346	47.68	3.59	0	0	0
0x50	 21:05:05.193	0.0493	0.0493	1.0190	0.0000	0.0000	7.4463	1.6699	-0.3131	-119.2017	47.68	3.59	0	0	0
0x50	 21:05:05.193	0.0493	0.0493	1.0190	0.0000	0.0000	7.4463	1.6754	-0.3131	-119.1302	47.68	3.59	0	0	0
0x50	 21:05:05.193	-0.0059	0.0288	1.0205	-4.3335	-0.1831	-1.7090	1.6644	-0.3186	-119.0973	47.68	3.59	0	0	0
0x50	 21:05:05.193	-0.0059	0.0288	1.0205	-4.3335	-0.1831	-1.7090	1.6315	-0.3186	-119.1138	47.68	3.59	0	0	0
0x50	 21:05:05.193	-0.0093	0.0625	1.0024	-2.1973	0.1221	-2.3804	1.6040	-0.3186	-119.1357	47.68	3.59	0	0	0
0x50	 21:05:05.193	-0.0093	0.0625	1.0024	-2.1973	0.1221	-2.3804	1.5930	-0.3186	-119.1632	47.68	3.59	0	0	0
0x50	 21:05:05.241	-0.0249	0.0835	0.9702	4.0894	0.9766	-1.9531	1.6095	-0.3131	-119.1797	47.67	3.59	0	0	0
0x50	 21:05:05.241	-0.0249	0.0835	0.9702	4.0894	0.9766	-1.9531	1.6644	-0.3021	-119.2017	47.67	3.59	0	0	0
0x50	 21:05:05.241	0.0327	0.0562	1.0103	3.5400	0.9766	-0.6104	1.7084	-0.2911	-119.2126	47.68	3.59	0	0	0
0x50	 21:05:05.241	0.0327	0.0562	1.0103	3.5400	0.9766	-0.6104	1.7578	-0.2802	-119.2181	47.68	3.59	0	0	0
0x50	 21:05:05.241	-0.0054	0.0078	1.0483	-3.5400	-1.5259	6.8970	1.7633	-0.2802	-119.1907	47.69	3.59	0	0	0
0x50	 21:05:05.241	-0.0054	0.0078	1.0483	-3.5400	-1.5259	6.8970	1.7358	-0.2966	-119.1193	47.69	3.59	0	0	0
0x50	 21:05:05.241	0.0117	0.0938	0.9888	-3.7842	-0.9766	-2.8687	1.7084	-0.3131	-119.1028	47.68	3.59	0	0	0
0x50	 21:05:05.328	0.0117	0.0938	0.9888	-3.7842	-0.9766	-2.8687	1.6754	-0.3186	-119.1302	47.68	3.59	0	0	0
0x50	 21:05:05.328	0.0010	0.0562	0.9775	1.3428	-1.0376	-1.5259	1.6754	-0.3296	-119.1522	47.67	3.59	0	0	0
0x50	 21:05:05.328	0.0010	0.0562	0.9775	1.3428	-1.0376	-1.5259	1.6974	-0.3406	-119.1687	47.67	3.59	0	0	0
0x50	 21:05:05.328	-0.0166	0.0571	1.0093	4.5776	1.5869	-1.8921	1.7358	-0.3351	-119.1852	47.67	3.59	0	0	0
0x50	 21:05:05.328	-0.0166	0.0571	1.0093	4.5776	1.5869	-1.8921	1.7908	-0.3186	-119.2017	47.67	3.59	0	0	0
0x50	 21:05:05.328	0.0522	0.0435	1.0298	-0.6104	-0.9155	7.2632	1.8182	-0.3131	-119.1742	47.68	3.59	0	0	0
0x50	 21:05:05.378	0.0522	0.0435	1.0298	-0.6104	-0.9155	7.2632	1.8237	-0.3241	-119.1028	47.68	3.59	0	0	0
0x50	 21:05:05.378	-0.0034	0.0571	1.0093	-4.8828	-1.6479	-3.2349	1.8018	-0.3406	-119.0808	47.68	3.59	0	0	0
0x50	 21:05:05.378	-0.0034	0.0571	1.0093	-4.8828	-1.6479	-3.2349	1.7633	-0.3571	-119.1138	47.68	3.59	0	0	0
0x50	 21:05:05.378	-0.0029	0.0635	0.9858	0.1831	0.1221	-0.7324	1.7468	-0.3625	-119.1357	47.68	3.59	0	0	0
0x50	 21:05:05.378	-0.0029	0.0635	0.9858	0.1831	0.1221	-0.7324	1.7578	-0.3625	-119.1412	47.68	3.59	0	0	0
0x50	 21:05:05.378	-0.0254	0.0986	0.9917	5.8594	1.9531	-1.4038	1.7963	-0.3516	-119.1522	47.67	3.59	0	0	0
0x50	 21:05:05.378	-0.0254	0.0986	0.9917	5.8594	1.9531	-1.4038	1.8677	-0.3296	-119.1687	47.67	3.59	0	0	0
0x50	 21:05:05.453	-0.0254	0.0986	0.9917	5.8594	1.9531	-1.4038	1.9336	-0.3076	-119.1797	47.67	3.59	0	0	0
0x50	 21:05:05.453	0.0625	0.0059	1.0308	-0.6104	-0.9155	5.3711	1.9391	-0.3186	-119.1248	47.68	3.59	0	0	0
0x50	 21:05:05.453	0.0625	0.0059	1.0308	-0.6104	-0.9155	5.3711	1.9391	-0.3296	-119.0753	47.68	3.59	0	0	0
0x50	 21:05:05.453	-0.0127	0.0186	1.0127	-5.1270	-1.8921	-2.4414	1.8951	-0.3461	-119.0973	47.67	3.59	0	0	0
0x50	 21:05:05.459	-0.0127	0.0186	1.0127	-5.1270	-1.8921	-2.4414	1.8512	-0.3680	-119.1248	47.67	3.59	0	0	0
0x50	 21:05:05.459	-0.0098	0.1313	0.9785	1.2817	0.0000	-1.0376	1.8677	-0.3680	-119.1357	47.67	3.59	0	0	0
0x50	 21:05:05.516	-0.0098	0.1313	0.9785	1.2817	0.0000	-1.0376	1.8951	-0.3625	-119.1467	47.67	3.59	0	0	0
0x50	 21:05:05.516	-0.0205	0.0435	1.0039	5.6152	1.0986	-1.8921	1.9611	-0.3516	-119.1632	47.68	3.59	0	0	0
